relative_day,vol_ratio_20,ma25_slope,bb_width,atr_ratio,rsi14,ma25_dev,ma75_dev
-30,0.7426329810335818,0.15404683752546777,15.564340648618776,3.7370598465191147,49.613265599047736,-0.1408384027268273,0.8403359033638723
-29,0.7494711281879166,0.11046698829113577,15.542841794842724,3.780284487837904,49.01960784313726,-0.1593231801361471,0.6114055590048778
-28,0.740943018387038,0.0953895071542199,15.58357846970178,3.7614739854404298,49.572649572649574,-0.31681094282773103,0.6670372429127293
-27,0.7416654040741633,0.06151093217021675,15.66370523890229,3.771974053496859,49.315047877043476,-0.5054817542196935,0.39393817582506085
-26,0.7362833723546094,0.05093624826043586,15.621868097685237,3.7758996728462377,49.056603773584904,-0.4517613863954728,0.340214651779565
-25,0.7426038560084514,0.006366512473099384,15.753885280582743,3.7971239508487837,48.39891576424499,-0.6108100208348736,0.18569262362807587
-24,0.7243469034607654,0.0,15.761437024546634,3.7593984962406015,47.94524177091013,-0.6719234639061269,0.06305215429598361
-23,0.7238607053253483,-0.04279092797054851,15.701668348086802,3.751685509880496,47.43395528559259,-0.9173688999621649,-0.018765452794685895
-22,0.7159220121877039,-0.07075041071470944,15.73472408538336,3.748155039888405,47.05882352941171,-1.0282871597831855,-0.08600939628167617
-21,0.7120844874979632,-0.10849320362137371,15.8202534126504,3.7341031308078825,46.55173779323549,-1.0648931752880337,-0.26132145197946316
-20,0.7062153237681992,-0.135196803079618,15.736258685632695,3.7110300424971143,46.580921206548666,-1.1824914509221294,-0.3927598620512332
-19,0.7060263612319395,-0.1889279171675362,15.662559466043795,3.692720829752398,45.957790391220925,-1.3157894736842022,-0.5999928828132153
-18,0.7077967786399812,-0.2494819461806519,15.655057721727857,3.681455493120178,45.815114608475035,-1.3742341971480299,-0.7550421614225546
-17,0.7006162828413882,-0.28858613290922985,15.601266433910514,3.651116446326383,45.454541341129186,-1.5655847557467795,-1.0172371592255283
-16,0.6947297144791784,-0.30672409083959407,15.33963223699549,3.633841886269071,45.18716577540107,-1.5853975588581912,-1.1418454837718761
-15,0.7091882218506793,-0.32918489604947254,15.218861491215316,3.6117249660473094,45.58823640613511,-1.56623885142484,-1.2191295579704224
-14,0.7114723874968575,-0.34748076445768605,15.093092702483148,3.586967249591764,45.27665218660276,-1.6021927888209566,-1.2772921134376831
-13,0.7465437788018433,-0.38999284851730653,15.012775207215782,3.5888329530373597,44.78388450129773,-1.7722957643528714,-1.5147656480427234
-12,0.7431304264860223,-0.45286676335943854,14.979426452401093,3.594679837263448,44.44443404477926,-1.8851835611049936,-1.7083154569960475
-11,0.7624617829733265,-0.5221932114882533,15.013352520849882,3.5972641535448595,44.29802779344698,-1.924736931356307,-1.9347998939835724
