ticker,old_day_0,true_day_0,relative_gap,multiplier
1380.T,2018-11-26,2018-11-26,0,2.03
1380.T,2019-05-17,2019-05-17,0,2.11
1380.T,2020-04-17,2020-04-06,-9,2.02
1382.T,2019-06-10,2019-05-09,-22,2.06
1382.T,2019-10-01,2019-08-16,-30,2.02
1382.T,2020-03-13,2020-03-09,-4,2.04
1382.T,2022-02-04,2022-02-04,0,2.32
1382.T,2022-05-19,2022-04-28,-11,5.22
1382.T,2022-08-29,2022-08-26,-1,2.37
1382.T,2022-12-29,2022-11-17,-29,2.08
1382.T,2023-08-25,2023-08-21,-4,2.21
1382.T,2025-04-23,2025-03-26,-20,2.05
1382.T,2025-09-02,2025-09-02,0,2.08
1384.T,2025-04-11,2025-04-11,0,2.12
1384.T,2025-07-28,2025-06-19,-26,2.15
1401.T,2025-04-11,2025-04-09,-2,2.21
1407.T,2019-07-26,2019-06-13,-30,2.01
1407.T,2020-03-17,2020-03-09,-6,2.07
1407.T,2020-07-16,2020-06-09,-27,2.33
1407.T,2021-05-21,2021-04-05,-30,2.03
1407.T,2025-12-19,2025-11-20,-20,2.02
1418.T,2020-03-25,2020-03-25,0,2.01
1418.T,2023-01-10,2022-11-28,-28,2.03
1419.T,2019-06-04,2019-05-28,-5,2.01
1429.T,2018-11-27,2018-11-02,-17,2.02
1431.T,2019-08-09,2019-08-09,0,4.53
1431.T,2020-03-13,2020-03-13,0,2.41
1431.T,2020-07-02,2020-06-10,-16,2.76
1433.T,2020-03-13,2020-03-13,0,2.08
1433.T,2020-09-09,2020-08-28,-8,2.06
1434.T,2020-03-13,2020-03-09,-4,2.06
1434.T,2023-10-17,2023-10-17,0,2.01
1434.T,2025-04-07,2025-04-04,-1,2.04
1434.T,2025-07-23,2025-07-15,-5,2.26
1434.T,2025-11-05,2025-10-06,-20,2.02
1435.T,2019-03-13,2019-03-13,0,2.08
1435.T,2020-03-13,2020-03-13,0,2.22
1436.T,2020-04-15,2020-03-26,-14,2.1
1436.T,2020-09-16,2020-09-15,-1,2.11
1436.T,2023-12-26,2023-12-12,-10,2.12
1436.T,2024-05-07,2024-04-26,-4,2.72
1436.T,2025-12-09,2025-12-09,0,2.02
1443.T,2019-01-21,2019-01-21,0,2.22
1443.T,2019-08-14,2019-08-14,0,2.14
1446.T,2020-03-19,2020-02-14,-23,2.16
1447.T,2019-09-02,2019-08-14,-13,2.01
1447.T,2020-03-17,2020-02-18,-19,2.12
1447.T,2021-01-04,2020-12-17,-10,2.07
1447.T,2025-10-20,2025-09-24,-17,2.01
1450.T,2020-05-15,2020-04-13,-20,2.1
1491.T,2020-03-09,2020-03-09,0,2.63
1491.T,2020-06-18,2020-06-09,-7,4.31
1491.T,2020-10-05,2020-10-05,0,2.46
1491.T,2024-09-09,2024-08-15,-17,2.25
1491.T,2025-01-07,2025-01-07,0,2.84
1514.T,2021-12-01,2021-11-08,-16,2.0
1514.T,2022-07-21,2022-07-21,0,2.11
1514.T,2022-11-24,2022-11-24,0,2.29
1514.T,2023-08-01,2023-08-01,0,2.01
1514.T,2023-11-17,2023-11-16,-1,9.42
1514.T,2024-04-18,2024-03-13,-25,4.42
1514.T,2024-08-20,2024-08-05,-10,3.23
1514.T,2026-01-08,2026-01-08,0,2.16
1515.T,2025-08-06,2025-08-06,0,2.21
1515.T,2025-12-04,2025-10-28,-25,2.77
1515.T,2026-05-20,2026-05-13,-5,2.08
1518.T,2021-12-17,2021-11-05,-29,2.11
1518.T,2022-05-17,2022-05-17,0,2.16
1518.T,2024-01-04,2023-12-08,-16,2.03
1518.T,2024-04-23,2024-04-23,0,2.1
1518.T,2025-04-18,2025-04-07,-9,2.4
1662.T,2025-07-23,2025-06-13,-27,2.09
1662.T,2025-11-10,2025-10-14,-18,2.24
1663.T,2023-12-25,2023-11-15,-27,2.0
1711.T,2018-12-25,2018-11-26,-21,2.07
1711.T,2020-03-24,2020-03-02,-15,2.07
1711.T,2020-07-09,2020-06-24,-11,2.02
1711.T,2020-10-21,2020-10-13,-6,2.06
1711.T,2021-10-26,2021-10-25,-1,2.32
1711.T,2023-11-07,2023-09-28,-26,2.2
1723.T,2025-07-25,2025-07-25,0,2.03
1723.T,2025-11-04,2025-11-04,0,2.4
1724.T,2018-12-25,2018-11-14,-29,2.02
1724.T,2019-05-17,2019-05-17,0,2.98
1724.T,2019-09-02,2019-08-08,-16,2.09
1773.T,2019-11-20,2019-11-20,0,2.04
1773.T,2020-02-28,2020-01-27,-22,2.36
1773.T,2023-02-03,2022-12-20,-30,2.12
1773.T,2023-05-17,2023-04-19,-17,3.3
1773.T,2023-11-02,2023-10-02,-22,2.07
1773.T,2024-02-26,2024-02-26,0,2.2
1783.T,2021-04-14,2021-03-08,-27,2.19
1783.T,2021-09-14,2021-09-14,0,2.91
1783.T,2025-04-07,2025-02-26,-27,2.0
1787.T,2020-10-22,2020-10-02,-14,2.02
1801.T,2025-07-29,2025-07-29,0,2.05
1811.T,2025-04-28,2025-03-18,-28,2.11
1811.T,2025-08-07,2025-07-11,-18,2.02
1814.T,2025-05-16,2025-04-07,-26,2.01
1827.T,2025-09-12,2025-08-07,-25,2.04
1840.T,2018-12-25,2018-12-25,0,2.06
1840.T,2019-08-23,2019-08-23,0,2.03
1840.T,2020-03-09,2020-02-28,-6,2.09
1840.T,2020-10-30,2020-10-28,-2,2.21
1844.T,2024-12-23,2024-12-10,-9,2.08
1844.T,2025-04-07,2025-03-12,-17,2.03
1844.T,2025-12-25,2025-12-25,0,3.5
1848.T,2020-03-27,2020-03-13,-9,2.02
1850.T,2025-04-25,2025-04-07,-14,2.04
1871.T,2025-10-20,2025-10-20,0,2.0
1885.T,2025-05-07,2025-03-21,-30,2.07
1885.T,2025-10-22,2025-10-22,0,2.08
1893.T,2025-06-23,2025-05-12,-30,2.02
1893.T,2025-10-06,2025-10-06,0,2.08
1898.T,2023-02-22,2023-02-22,0,2.01
1904.T,2023-06-12,2023-05-02,-26,2.1
1904.T,2023-10-10,2023-09-04,-24,2.75
1909.T,2024-09-02,2024-08-05,-19,2.1
1909.T,2025-04-07,2025-04-07,0,2.01
1909.T,2025-08-06,2025-07-03,-23,2.01
1938.T,2020-02-05,2020-01-08,-19,2.14
1938.T,2022-12-26,2022-12-02,-16,2.03
1945.T,2025-04-24,2025-04-24,0,2.03
1948.T,2024-08-05,2024-08-05,0,2.24
1948.T,2025-07-31,2025-07-31,0,2.2
1948.T,2025-12-01,2025-10-31,-19,2.71
1950.T,2025-10-22,2025-10-22,0,2.01
1952.T,2023-12-20,2023-11-09,-28,2.04
1952.T,2025-04-23,2025-04-23,0,2.07
1960.T,2025-05-23,2025-04-08,-30,2.02
1963.T,2022-01-04,2021-11-30,-23,2.09
1963.T,2025-10-22,2025-10-22,0,2.03
1965.T,2024-08-05,2024-08-05,0,2.48
1965.T,2025-04-07,2025-04-07,0,2.07
1965.T,2025-08-06,2025-07-01,-25,2.01
1966.T,2019-08-07,2019-06-25,-30,2.08
1966.T,2020-03-13,2020-02-07,-23,2.52
1966.T,2022-06-01,2022-04-15,-29,2.08
1966.T,2023-11-01,2023-10-03,-20,2.01
1969.T,2023-10-26,2023-10-04,-15,2.04
1969.T,2024-02-05,2023-12-26,-25,2.13
1975.T,2024-08-05,2024-08-05,0,2.01
1980.T,2023-12-26,2023-12-12,-10,2.03
1980.T,2025-04-28,2025-04-28,0,2.14
1992.T,2019-08-26,2019-08-06,-13,2.01
2114.T,2023-03-31,2023-02-20,-27,2.08
2120.T,2025-04-07,2025-04-07,0,2.0
2121.T,2020-03-19,2020-03-18,-1,2.05
2122.T,2020-03-13,2020-03-10,-3,2.11
2124.T,2020-08-11,2020-07-15,-16,2.03
2127.T,2020-03-23,2020-03-19,-1,2.0
2130.T,2019-01-11,2018-12-25,-10,2.12
2130.T,2020-07-31,2020-07-31,0,2.05
2134.T,2019-01-08,2018-11-26,-28,2.85
2134.T,2019-08-23,2019-08-06,-12,2.02
2134.T,2020-04-01,2020-03-09,-16,2.44
2134.T,2020-10-12,2020-10-12,0,2.08
2134.T,2023-05-26,2023-05-26,0,2.0
2134.T,2024-02-29,2024-02-15,-9,2.19
2134.T,2024-08-05,2024-08-05,0,2.06
2134.T,2025-04-15,2025-04-15,0,2.0
2134.T,2025-11-28,2025-11-17,-8,4.27
2138.T,2020-03-23,2020-03-09,-9,2.18
2138.T,2020-11-26,2020-11-13,-8,2.07
2138.T,2022-06-02,2022-05-13,-14,2.01
2138.T,2022-09-22,2022-09-02,-13,2.07
2146.T,2020-04-17,2020-03-19,-20,2.1
2146.T,2023-11-14,2023-11-14,0,2.0
2148.T,2019-03-22,2019-03-08,-9,2.0
2148.T,2020-03-23,2020-02-05,-30,2.02
2148.T,2020-07-01,2020-06-04,-19,2.26
2148.T,2023-12-13,2023-11-01,-28,2.01
2152.T,2020-11-13,2020-10-05,-28,2.07
2152.T,2021-04-02,2021-04-02,0,2.03
2153.T,2020-03-13,2020-01-30,-29,2.05
2154.T,2020-03-19,2020-03-19,0,2.17
2154.T,2020-10-30,2020-10-30,0,2.03
2156.T,2024-08-05,2024-07-25,-7,2.15
2158.T,2020-03-25,2020-02-28,-17,2.04
2158.T,2021-01-19,2021-01-19,0,2.07
2158.T,2021-05-13,2021-04-21,-12,2.63
2158.T,2021-09-09,2021-08-18,-16,5.19
2158.T,2022-02-21,2022-02-16,-3,3.42
2158.T,2025-04-07,2025-04-07,0,2.04
2158.T,2025-07-24,2025-07-24,0,2.24
2160.T,2019-05-28,2019-05-14,-10,2.04
2160.T,2020-03-13,2020-03-03,-8,2.09
2160.T,2020-08-14,2020-08-14,0,2.95
2160.T,2021-01-22,2021-01-20,-2,2.34
2160.T,2022-05-12,2022-04-07,-21,2.02
2160.T,2023-05-09,2023-05-09,0,2.09
2160.T,2023-08-21,2023-08-03,-11,2.25
2160.T,2024-08-26,2024-08-05,-14,2.38
2160.T,2025-04-18,2025-03-06,-30,2.04
2162.T,2018-12-25,2018-11-28,-19,2.05
2162.T,2019-09-03,2019-08-15,-13,2.05
2162.T,2020-02-28,2020-02-28,0,2.18
2162.T,2023-01-25,2023-01-25,0,2.03
2162.T,2024-12-02,2024-10-24,-26,2.02
2163.T,2020-03-13,2020-02-28,-10,2.15
2164.T,2018-07-18,2018-07-18,0,10.52
2164.T,2019-03-26,2019-03-22,-2,2.87
2164.T,2020-04-09,2020-03-06,-23,2.05
2164.T,2022-03-25,2022-03-25,0,2.07
2164.T,2022-08-24,2022-08-24,0,2.05
2164.T,2022-12-20,2022-11-09,-28,2.01
2164.T,2023-11-30,2023-11-30,0,2.33
2164.T,2024-08-23,2024-07-10,-30,2.72
2164.T,2025-04-11,2025-04-07,-4,2.02
2164.T,2025-08-01,2025-08-01,0,2.15
2168.T,2020-03-23,2020-03-18,-2,2.09
2168.T,2021-05-28,2021-04-14,-28,2.02
2168.T,2023-11-16,2023-11-16,0,2.17
2170.T,2020-03-23,2020-02-14,-24,2.04
2170.T,2020-09-01,2020-08-11,-15,2.01
2170.T,2021-03-05,2021-02-15,-13,2.03
2170.T,2021-06-15,2021-05-14,-22,2.14
2170.T,2022-05-13,2022-03-31,-27,2.02
2173.T,2018-08-08,2018-08-08,0,2.14
2173.T,2020-03-17,2020-02-28,-12,2.01
2173.T,2023-11-21,2023-11-06,-11,2.06
2173.T,2024-08-13,2024-08-13,0,2.12
2173.T,2025-08-01,2025-06-26,-25,2.13
2180.T,2018-11-12,2018-10-11,-22,2.09
2181.T,2020-03-19,2020-02-17,-22,2.14
2193.T,2024-02-05,2024-01-09,-19,2.0
2195.T,2021-08-10,2021-08-06,-1,2.58
2195.T,2021-11-19,2021-11-10,-7,8.04
2195.T,2022-06-24,2022-05-31,-18,2.03
2195.T,2022-11-16,2022-11-16,0,2.02
2195.T,2026-01-05,2026-01-05,0,2.0
2215.T,2023-06-09,2023-06-09,0,2.03
2215.T,2023-09-21,2023-09-21,0,2.11
2216.T,2023-01-19,2022-12-20,-19,2.01
2216.T,2025-04-23,2025-04-07,-12,2.04
2222.T,2020-08-12,2020-07-30,-8,2.0
2301.T,2019-09-05,2019-09-05,0,2.0
2303.T,2019-08-21,2019-08-21,0,2.01
2303.T,2020-07-03,2020-05-26,-28,2.03
2304.T,2022-06-08,2022-06-07,-1,2.04
2304.T,2023-01-19,2022-12-20,-19,2.16
2304.T,2023-05-15,2023-04-17,-17,2.36
2307.T,2020-04-10,2020-03-13,-19,2.09
2307.T,2021-09-21,2021-08-25,-18,2.06
2307.T,2022-06-06,2022-05-09,-20,2.1
2307.T,2023-10-30,2023-10-04,-17,2.2
2307.T,2024-03-05,2024-03-04,-1,2.28
2307.T,2024-08-05,2024-08-05,0,2.28
2311.T,2020-03-23,2020-02-12,-26,2.14
2315.T,2020-04-03,2020-03-09,-18,2.25
2315.T,2020-10-07,2020-10-07,0,3.32
