ticker,name,events,big_winners,big_winner_rate,status,sector,industry
1301.T,極洋,2305,0.0,0.0,ok,Consumer Defensive,Packaged Foods
1332.T,ニッスイ,1396,0.0,0.0,ok,Consumer Defensive,Packaged Foods
1333.T,マルハニチロ,1686,0.0,0.0,ok,Consumer Defensive,Packaged Foods
1375.T,ユキグニファクトリー,1144,0.0,0.0,ok,Consumer Defensive,Packaged Foods
1376.T,カネコ種苗,1879,0.0,0.0,ok,Basic Materials,Agricultural Inputs
1377.T,サカタのタネ,1599,0.0,0.0,ok,Consumer Defensive,Farm Products
1379.T,ホクト,2235,0.0,0.0,ok,Consumer Defensive,Farm Products
1380.T,秋川牧園,1858,10.0,0.005382131324004306,ok,Consumer Defensive,Farm Products
1381.T,アクシーズ,1901,2.0,0.0010520778537611783,ok,Consumer Defensive,Farm Products
1382.T,ホーブ,1317,522.0,0.39635535307517084,ok,Consumer Defensive,Farm Products
1383.T,ベルグアース,2081,0.0,0.0,ok,Consumer Defensive,Farm Products
1384.T,ホクリヨウ,1699,289.0,0.17010005885815185,ok,Consumer Defensive,Farm Products
1401.T,エムビーエス,1319,208.0,0.15769522365428354,ok,Industrials,Engineering & Construction
1407.T,ウエストホールディングス,973,375.0,0.3854059609455293,ok,Utilities,Utilities - Renewable
1414.T,ショーボンドホールディングス,1889,0.0,0.0,ok,Industrials,Engineering & Construction
1417.T,ミライト・ワン,1727,8.0,0.004632310364794441,ok,Industrials,Engineering & Construction
1418.T,インターライフホールディングス,1391,263.0,0.18907260963335729,ok,Industrials,Specialty Business Services
1419.T,タマホーム,1585,95.0,0.05993690851735016,ok,Consumer Cyclical,Residential Construction
1420.T,サンヨーホームズ,1988,0.0,0.0,ok,Consumer Cyclical,Residential Construction
1429.T,日本アクア,1471,0.0,0.0,ok,Industrials,Engineering & Construction
1430.T,ファーストコーポレーション,1626,0.0,0.0,ok,Consumer Cyclical,Residential Construction
1431.T,Ｌｉｂ　Ｗｏｒｋ,1338,55.0,0.04110612855007474,ok,Real Estate,Real Estate - Diversified
1432.T,動力,1741,0.0,0.0,ok,,
1433.T,ベステラ,1222,1.0,0.0008183306055646482,ok,Industrials,Engineering & Construction
1434.T,ＪＥＳＣＯホールディングス,1456,391.0,0.26854395604395603,ok,Industrials,Engineering & Construction
1435.T,ｒｏｂｏｔ　ｈｏｍｅ,834,0.0,0.0,ok,Real Estate,Real Estate Services
1436.T,グリーンエナジー＆カンパニー,1073,573.0,0.5340167753960857,ok,Industrials,Engineering & Construction
1438.T,岐阜造園,704,0.0,0.0,ok,Industrials,Engineering & Construction
1443.T,技研ホールディングス,1445,94.0,0.06505190311418685,ok,Industrials,Engineering & Construction
1444.T,ニッソウ,840,0.0,0.0,ok,Consumer Cyclical,Residential Construction
1445.T,ひかりホールディングス,1500,0.0,0.0,ok,,
1446.T,キャンディル,1555,2.0,0.0012861736334405145,ok,Industrials,Engineering & Construction
1447.T,ＳＡＡＦホールディングス,758,89.0,0.11741424802110818,ok,Technology,Information Technology Services
1450.T,ＴＡＮＡＫＥＮ,1425,101.0,0.07087719298245614,ok,Industrials,Engineering & Construction
1452.T,横浜ライト工業,1342,0.0,0.0,ok,,
1491.T,中外鉱業,1447,470.0,0.32480995162404974,ok,Basic Materials,Gold
1514.T,住石ホールディングス,1183,538.0,0.4547759932375317,ok,Energy,Thermal Coal
1515.T,日鉄鉱業,1554,254.0,0.16344916344916344,ok,Basic Materials,Copper
1518.T,三井松島ホールディングス,1148,349.0,0.304006968641115,ok,Energy,Thermal Coal
1605.T,ＩＮＰＥＸ,1251,242.0,0.19344524380495604,ok,Energy,Oil & Gas E&P
1662.T,石油資源開発,1370,272.0,0.19854014598540146,ok,Energy,Oil & Gas E&P
1663.T,Ｋ＆Ｏエナジーグループ,1646,19.0,0.011543134872417983,ok,Utilities,Utilities - Regulated Gas
1711.T,ＳＤＳホールディングス,656,7.0,0.010670731707317074,ok,Utilities,Utilities - Renewable
1716.T,第一カッター興業,1595,7.0,0.00438871473354232,ok,Industrials,Engineering & Construction
1717.T,明豊ファシリティワークス,1645,0.0,0.0,ok,Industrials,Engineering & Construction
1718.T,美樹工業,2043,112.0,0.0548213411649535,ok,Industrials,Engineering & Construction
1719.T,安藤・間,1830,3.0,0.001639344262295082,ok,Industrials,Engineering & Construction
1720.T,東急建設,1510,121.0,0.08013245033112583,ok,Industrials,Engineering & Construction
1721.T,コムシスホールディングス,1885,0.0,0.0,ok,Industrials,Engineering & Construction
1723.T,日本電技,1759,312.0,0.17737350767481525,ok,Technology,Electronic Components
1724.T,シンクレイヤ,1489,22.0,0.014775016789791807,ok,Technology,Communication Equipment
1726.T,ビーアールホールディングス,1475,51.0,0.03457627118644068,ok,Industrials,Engineering & Construction
1736.T,オーテック,1815,144.0,0.07933884297520662,ok,Industrials,Industrial Distribution
1758.T,太洋基礎工業,1500,0.0,0.0,ok,Industrials,Engineering & Construction
1762.T,高松コンストラクショングループ,1726,0.0,0.0,ok,Industrials,Engineering & Construction
