ticker,day_0_date,multiplier,peak_price,bottom_price
1380.T,2018-11-26,2.03,1546.6990168762209,647.9794921875
1380.T,2019-05-17,2.11,1546.6990168762209,702.602981052151
1380.T,2020-04-17,2.02,1419.9982622931986,646.3177314845996
1382.T,2019-06-10,2.06,1488.7402116398414,704.9623413085938
1382.T,2019-10-01,2.02,2035.1953518058217,858.2149480311715
1382.T,2020-03-13,2.04,2035.1953518058217,768.0148214534837
1382.T,2022-02-04,2.32,1868.1104736328125,761.884765625
1382.T,2022-05-19,5.22,4192.106832371505,796.0381584710647
1382.T,2022-08-29,2.37,3713.937395987426,1524.571250544465
1382.T,2022-12-29,2.08,3713.937395987426,1531.9992383321128
1382.T,2023-08-25,2.21,3754.62548828125,1602.9912651909722
1382.T,2025-04-23,2.05,3645.0,1443.4567930640244
1382.T,2025-09-02,2.08,3645.0,1731.0
1384.T,2025-04-11,2.12,2468.94052687724,1162.6986859974108
1384.T,2025-07-28,2.15,3239.288121896197,1456.4833961153
1401.T,2025-04-11,2.21,1640.9194700216651,562.0133847346489
1407.T,2019-07-26,2.01,1029.0802576292276,503.8650874032038
1407.T,2020-03-17,2.07,1815.068076175824,657.2373221891379
1407.T,2020-07-16,2.33,3053.610993282472,1262.4822221951697
1407.T,2021-05-21,2.03,5605.985367571721,2628.271970547394
1407.T,2025-12-19,2.02,2915.0,1266.9289094229466
1418.T,2020-03-25,2.01,243.6891104908196,96.3607285867526
1418.T,2023-01-10,2.03,271.8481204384252,131.1197892656978
1419.T,2019-06-04,2.01,1520.7892428725513,705.6818281350677
1429.T,2018-11-27,2.02,497.9351782971876,243.99251591393707
1431.T,2019-08-09,4.53,619.9500146041825,126.64095051636386
1431.T,2020-03-13,2.41,619.9500146041825,253.471220476874
1431.T,2020-07-02,2.76,1231.4385273946866,433.1747725705358
1433.T,2020-03-13,2.08,1100.8568441759903,520.0970052083334
1433.T,2020-09-09,2.06,1813.1293253260333,831.1671769042453
1434.T,2020-03-13,2.06,394.9629413163035,171.72302731600675
1434.T,2023-10-17,2.01,1101.8480166431184,529.10986328125
1434.T,2025-04-07,2.04,1420.0,695.3872100703448
1434.T,2025-07-23,2.26,1999.0,879.602178715202
1434.T,2025-11-05,2.02,2495.0,1171.0
1435.T,2019-03-13,2.08,796.946016751803,244.81680216316047
1435.T,2020-03-13,2.22,214.45192766887385,90.1457165736778
1436.T,2020-04-15,2.1,313.261474609375,131.94571581543693
1436.T,2020-09-16,2.11,479.2900182312438,213.0177898632788
1436.T,2023-12-26,2.12,547.2117919921875,252.61199941004543
1436.T,2024-05-07,2.72,852.4570415673215,296.7205798204005
1436.T,2025-12-09,2.02,1463.6162545016264,685.3284183953999
1443.T,2019-01-21,2.22,325.5654049119052,142.01218293842518
1443.T,2019-08-14,2.14,420.0438003722125,194.0156046549479
1446.T,2020-03-19,2.16,727.3614053381494,299.6769328673193
1447.T,2019-09-02,2.01,597.4663794600723,259.1658584479999
1447.T,2020-03-17,2.12,938.734412577066,269.0576923076923
1447.T,2021-01-04,2.07,1048.533686587685,446.12138961758745
1447.T,2025-10-20,2.01,469.8617960387915,227.51201923076923
1450.T,2020-05-15,2.1,1210.9141431496855,545.7214426100911
1491.T,2020-03-09,2.63,879.526841905382,228.6769866943359
1491.T,2020-06-18,4.31,1213.74711339614,281.44859483506946
1491.T,2020-10-05,2.46,1213.74711339614,439.76343595064606
1491.T,2024-09-09,2.25,1220.079345703125,505.5295519147601
1491.T,2025-01-07,2.84,1677.6090270294542,571.9121704101562
1514.T,2021-12-01,2.0,217.53127561796697,106.1590236482166
1514.T,2022-07-21,2.11,366.6955555698328,152.71582275390625
1514.T,2022-11-24,2.29,411.9775951488598,173.13712882037137
1514.T,2023-08-01,2.01,648.267112824975,281.0668626616273
1514.T,2023-11-17,9.42,5050.136905712709,476.0003491706655
1514.T,2024-04-18,4.42,5050.136905712709,1028.2974987441687
1514.T,2024-08-20,3.23,5050.136905712709,970.803388116484
1514.T,2026-01-08,2.16,1337.9434814453125,495.97027755438114
1515.T,2025-08-06,2.21,3151.8125897632726,1401.1865913085935
1515.T,2025-12-04,2.77,4452.794443279609,1558.23266028283
1515.T,2026-05-20,2.08,4452.794443279609,2074.0
1518.T,2021-12-17,2.11,464.0428771972656,199.83418589544257
1518.T,2022-05-17,2.16,748.6666423333786,297.183154732554
1518.T,2024-01-04,2.03,999.5,468.8758292045681
1518.T,2024-04-23,2.1,1151.5574366609817,543.1420042298206
1518.T,2025-04-18,2.4,1553.2764131897711,626.0413776887925
1662.T,2025-07-23,2.09,2110.733114774816,990.7088291410764
1662.T,2025-11-10,2.24,2771.3816676917872,1222.0033879748744
