date,state_0,state_1,state_2,state_3,state_4,state_5,state_6
2026-06-26,1960,615,463,340,16,89,177
2026-07-03,1838,537,609,387,23,92,174
2026-07-06,1811,494,659,405,24,87,180
2026-07-08,1810,406,720,433,27,86,178
2026-07-09,1774,351,786,453,25,91,180
2026-07-10,1743,342,788,486,26,94,181
2026-07-13,1730,328,791,506,25,95,185
2026-07-14,1706,320,803,518,29,96,188
2026-07-15,1672,314,808,544,33,95,194
2026-07-16,1656,306,812,561,30,99,196
2026-07-17,1742,257,727,612,31,95,196
2026-07-21,1699,275,729,626,38,97,196
2026-07-22,1670,279,741,634,36,104,196
2026-07-23,1626,297,756,636,40,105,200
2026-07-24,1602,317,745,646,42,107,201
2026-07-27,1550,341,744,667,48,105,205
2026-07-28,1551,336,727,686,45,112,203
2026-07-29,1563,298,680,741,58,113,207
2026-07-30,1550,303,640,778,66,115,208
2026-07-31,1542,291,623,801,70,124,209
2026-08-03,1535,294,603,816,68,136,208
2026-08-04,1527,311,598,816,59,142,207
2026-08-06,1514,295,585,839,66,151,210
2026-08-07,1505,270,549,885,84,158,209
2026-08-10,1512,251,491,932,108,152,214
2026-08-12,1498,251,453,959,111,173,215
2026-08-13,1492,264,427,965,115,179,218
2026-08-14,1468,272,399,974,133,193,221
2026-08-17,1479,269,379,970,126,206,231
2026-08-18,1479,258,393,966,95,237,232
2026-08-19,1507,247,396,948,79,251,232
2026-08-20,1544,233,393,930,63,264,233
2026-08-21,1541,238,389,931,56,271,234
2026-08-24,1534,242,393,931,50,275,235
2026-08-25,1509,244,405,928,50,279,245
2026-08-27,1442,285,408,949,40,280,256
2026-08-28,1369,320,417,961,50,281,262
2026-08-31,1338,303,441,971,59,276,272
2026-09-01,1319,307,456,977,43,279,279
