volume_bin,close_loc_bin,signals,wins,stops,others,win_rate,stop_rate,avg_pnl_pct,median_pnl_pct,avg_days_held
1.0-1.2,high,567,79,187,301,0.13932980599647266,0.3298059964726631,3462248.7896404136,0.985100269519093,15.236331569664904
1.0-1.2,low,182,17,54,111,0.09340659340659341,0.2967032967032967,1.016969151917891,0.20246121064708575,16.186813186813186
1.0-1.2,mid,281,35,86,160,0.12455516014234876,0.30604982206405695,1.9576035966944851,1.6129047874570768,15.185053380782918
1.2-1.5,high,462,62,159,241,0.1341991341991342,0.34415584415584416,1.6650837530365925,1.0804797456913997,15.114718614718615
1.2-1.5,low,145,16,54,75,0.1103448275862069,0.3724137931034483,0.3951452008392837,-1.2037114769500197,15.068965517241379
1.2-1.5,mid,246,30,80,136,0.12195121951219512,0.3252032520325203,1.9180549150603894,0.762637568244931,15.020325203252032
<1.0,high,1476,170,483,823,0.11517615176151762,0.32723577235772355,1.360612334422516,0.8843167251411039,15.368563685636856
<1.0,low,443,46,147,250,0.1038374717832957,0.33182844243792325,1.3998417653530926,0.8695652173913043,15.110609480812641
<1.0,mid,897,113,298,486,0.12597547380156077,0.33221850613154963,2179232.4535408597,0.41941307315683085,15.424749163879598
>=1.5,high,551,82,168,301,0.14882032667876588,0.30490018148820325,3555216.551555646,1.3399396650264617,15.061705989110708
>=1.5,low,175,21,44,110,0.12,0.25142857142857145,2.2008895899209118,1.7555089247181597,16.068571428571428
>=1.5,mid,332,57,113,162,0.1716867469879518,0.34036144578313254,1.736762957899856,1.2678093376580333,14.316265060240964
